question,answer
What is the method to get DMC?,"Procedure for incomplete DMC is:-
1)	Apply on DMC form 
2)	Attach challan of Rs. 300 ( Account No: 01287901582203, Title: Student Dues UET, LHR), online Challan from LMS account can be generated or bank deposit slip can be used.)
Procedure for complete/final DMC for UET, Lahore students is:-
Before applying for final/complete DMC for 1st time only, final year students should follow below instructions:(for undergraduate session 2015 & postgraduate session 2016 onwards)

1)	Fill exit survey and all subject surveys.	
2)	Make sure your proper picture is uploaded on LMS, for this purpose, check your profile under student information option in your LMS account. Your picture must be clear and properly visible. In case of any issue regarding picture, visit Admission Cell Admin Block bringing your picture. IB&M students have this facility in their department.
3)	Make sure your online departmental clearance is made by your LMS Coordinator.
4)	Attach following documents:-
       a)	DMC form
       b)	CNIC copy
       c)	Original challan for final DMC fee of Rs. 1000/- (Account No: 01287901582203, Title: Student Dues UET, LHR), online Challan from LMS account can be generated or bank deposit slip can be used.
       d)	Original challan of 1st Installment of Rs. 10,000/-  if payable loan is mentioned on dues clearance slip, (Account No: 41707-4 Title: UET Endowment Fund), only bank deposit slip can be used.
       e)	Degree Requirement Completion Form duly signed and stamped by Chairperson
       f )	One Passport size picture
       g)	Library and Dues clearance copy
       h)	Matric/O level certificate copy (for foreigners attach passport copy + IBCC)
       i)	Thesis notification copy for Postgraduate students only

Note:-    
Online dues clearance for Rachna college, KSK, FSD and NWL will be made by concerned office of their respective campuses.
Above instructions are for 1st time final DMC. To apply for subsequent copies of final DMC, attach DMC form and Challan of Rs. 1000/- only.
Examinations Branch Admin Block, UET, Lahore 042-99029235, 042-99250214 examination@uet.edu.pk"
How to get incomplete DMC?,"Procedure for incomplete DMC is:-
1)	Apply on DMC form 
2)	Attach challan of Rs. 300 ( Account No: 01287901582203, Title: Student Dues UET, LHR), online Challan from LMS account can be generated or bank deposit slip can be used.)
Procedure for complete/final DMC for UET, Lahore students is:-
Before applying for final/complete DMC for 1st time only, final year students should follow below instructions:(for undergraduate session 2015 & postgraduate session 2016 onwards)

1)	Fill exit survey and all subject surveys.	
2)	Make sure your proper picture is uploaded on LMS, for this purpose, check your profile under student information option in your LMS account. Your picture must be clear and properly visible. In case of any issue regarding picture, visit Admission Cell Admin Block bringing your picture. IB&M students have this facility in their department.
3)	Make sure your online departmental clearance is made by your LMS Coordinator.
4)	Attach following documents:-
       a)	DMC form
       b)	CNIC copy
       c)	Original challan for final DMC fee of Rs. 1000/- (Account No: 01287901582203, Title: Student Dues UET, LHR), online Challan from LMS account can be generated or bank deposit slip can be used.
       d)	Original challan of 1st Installment of Rs. 10,000/-  if payable loan is mentioned on dues clearance slip, (Account No: 41707-4 Title: UET Endowment Fund), only bank deposit slip can be used.
      e)	Degree Requirement Completion Form duly signed and stamped by Chairperson
      f)	One Passport size picture
     g)	Library and Dues clearance copy
     h)	Matric/O level certificate copy (for foreigners attach passport copy + IBCC)
     i)	Thesis notification copy for Postgraduate students only

Note:-    
Online dues clearance for Rachna college, KSK, FSD and NWL will be made by concerned office of their respective campuses.
Above instructions are for 1st time final DMC. To apply for subsequent copies of final DMC, attach DMC form and Challan of Rs. 1000/- only.
Examinations Branch Admin Block, UET, Lahore 042-99029235, 042-99250214 examination@uet.edu.pk"
How to get transcript or DMC?,"Procedure for incomplete DMC is:-
1)	Apply on DMC form 
2)	Attach challan of Rs. 300 ( Account No: 01287901582203, Title: Student Dues UET, LHR), online Challan from LMS account can be generated or bank deposit slip can be used.)
Procedure for complete/final DMC for UET, Lahore students is:-
Before applying for final/complete DMC for 1st time only, final year students should follow below instructions:(for undergraduate session 2015 & postgraduate session 2016 onwards)

1)	Fill exit survey and all subject surveys.	
2)	Make sure your proper picture is uploaded on LMS, for this purpose, check your profile under student information option in your LMS account. Your picture must be clear and properly visible. In case of any issue regarding picture, visit Admission Cell Admin Block bringing your picture. IB&M students have this facility in their department.
3)	Make sure your online departmental clearance is made by your LMS Coordinator.
4)	Attach following documents:-
       a)	DMC form
       b)	CNIC copy
       c)	Original challan for final DMC fee of Rs. 1000/- (Account No: 01287901582203, Title: Student Dues UET, LHR), online Challan from LMS account can be generated or bank deposit slip can be used.
       d)	Original challan of 1st Installment of Rs. 10,000/-  if payable loan is mentioned on dues clearance slip, (Account No: 41707-4 Title: UET Endowment Fund), only bank deposit slip can be used.
      e)	Degree Requirement Completion Form duly signed and stamped by Chairperson
      f)	One Passport size picture
     g)	Library and Dues clearance copy
     h)	Matric/O level certificate copy (for foreigners attach passport copy + IBCC)
     i)	Thesis notification copy for Postgraduate students only

Note:-    
Online dues clearance for Rachna college, KSK, FSD and NWL will be made by concerned office of their respective campuses.
Above instructions are for 1st time final DMC. To apply for subsequent copies of final DMC, attach DMC form and Challan of Rs. 1000/- only.
Examinations Branch Admin Block, UET, Lahore 042-99029235, 042-99250214 examination@uet.edu.pk"
List the documents needed for DMC?,"Attach following documents:-
a)	DMC form
b)	CNIC copy
c)	Original challan for final DMC fee of Rs. 1000/- (Account No: 01287901582203, Title: Student Dues UET, LHR), online Challan from LMS account can be generated or bank deposit slip can be used.
d)	Original challan of 1st Installment of Rs. 10,000/-  if payable loan is mentioned on dues clearance slip, (Account No: 41707-4 Title: UET Endowment Fund), only bank deposit slip can be used.
e)	Degree Requirement Completion Form duly signed and stamped by Chairperson
f)	One Passport size picture
g)	Library and Dues clearance copy
h)	Matric/O level certificate copy (for foreigners attach passport copy + IBCC)
i)	Thesis notification copy for Postgraduate students only"
"What is the procedure to get final or incomplete DMC for 
students of affiliated colleges with UET? ","Procedure for complete/final DMC for  students of affiliated colleges with UET, Lahore is:-
Before applying for final/complete DMC for 1st time only, final year students of affiliated colleges with UET, Lahore should follow below instructions:(for undergraduate session 2015)

1)	Fill exit survey and all subject surveys.	
2)	Make sure your proper picture is uploaded on LMS, for this purpose, check your profile under student information option in your LMS account. Your picture must be clear and properly visible. In case of any issue regarding picture, visit your college office bringing your picture.  
3)	Make sure your online departmental clearance is made by your LMS Coordinator. Online  dues clearance on LMS must also be made by your college concerned office.
4)	Attach following documents:-
a)	DMC form.
b)	CNIC copy.
c)	Original challan for final DMC fee of Rs. 1000/-  (Account No: 01287901582203, Title: Student Dues UET, LHR), online Challan from LMS account can be generated or bank deposit slip can be used.
d)	Degree Requirement Completion Form duly signed and stamped by Principal/HOD/Controller.
e)	One Passport size picture.
f)	Covering letter for DMC from concerned college.
g)	Matric/O level certificate copy. 
Note:- 
Above instructions are for 1st time final DMC. To apply for subsequent copies of final DMC, attach DMC form and Challan of Rs. 1000/- only.
042-99029235, 042-99250214  Examinations Branch UET, Lahore   
examination@uet.edu.pk"
How  many days are required to get DMC?,Ans: Official timing to get DMC is 3 working days
Fee for final DMC?, Fee for final DMC is Rs 1000/-
How much do I need to pay to get urgent DMC?," Fee for final DMC is Rs. 1000/- and for incomplete DMC is Rs. 300/-, Urgent DMC is not issued, normal DMC is issued in 3 working days"
Amount needed to pay for normal degree?, For final DMC is Rs. 1000/- and for incomplete DMC is Rs. 300/-
How much do I need to pay to get incomplete DMC?,Fee for final DMS is Rs 300/- 
